example_id                                                                                        | status  | run_time              |
./spec/adapters/bagit/query_service_spec.rb[1:1:3]                                                | passed  | 0.03236 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:4]                                                | passed  | 0.03261 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:5]                                                | passed  | 0.03249 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:6]                                                | passed  | 0.03434 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:7]                                                | passed  | 0.0318 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:8]                                                | passed  | 0.0323 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:9]                                                | passed  | 0.03522 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:10]                                               | passed  | 0.03208 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:11]                                               | passed  | 0.03118 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:12:1]                                             | passed  | 0.045 seconds         |
./spec/adapters/bagit/query_service_spec.rb[1:1:13:1]                                             | passed  | 0.07944 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:13:2]                                             | passed  | 0.0416 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:14:1]                                             | passed  | 0.03497 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:14:2]                                             | passed  | 0.05016 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:14:3]                                             | passed  | 0.03362 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:15:1]                                             | passed  | 0.06159 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:15:2]                                             | passed  | 0.04219 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:15:3]                                             | passed  | 0.03868 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:15:4]                                             | passed  | 0.03865 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:15:5]                                             | passed  | 0.0386 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:16:1]                                             | passed  | 0.06516 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:16:2]                                             | passed  | 0.07756 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:16:3]                                             | passed  | 0.04779 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:16:4]                                             | passed  | 0.0693 seconds        |
./spec/adapters/bagit/query_service_spec.rb[1:1:16:5]                                             | passed  | 0.05981 seconds       |
./spec/adapters/bagit/query_service_spec.rb[1:1:17:1:1:1]                                         | passed  | 0.05005 seconds       |
