"uri","code","label"
"http://id.loc.gov/vocabulary/iso639-1/fa","fa","Persian"
"http://id.loc.gov/vocabulary/iso639-1/pl","pl","Polish"
"http://id.loc.gov/vocabulary/iso639-1/pt","pt","Portuguese"
"http://id.loc.gov/vocabulary/iso639-1/ps","ps","Pushto |  Pashto"
"http://id.loc.gov/vocabulary/iso639-1/qu","qu","Quechua"
"http://id.loc.gov/vocabulary/iso639-1/ro","ro","Romanian |  Moldavian |  Moldovan"
"http://id.loc.gov/vocabulary/iso639-1/rm","rm","Romansh"
"http://id.loc.gov/vocabulary/iso639-1/rn","rn","Rundi"
"http://id.loc.gov/vocabulary/iso639-1/ru","ru","Russian"
"http://id.loc.gov/vocabulary/iso639-1/sm","sm","Samoan"
"http://id.loc.gov/vocabulary/iso639-1/sg","sg","Sango"
"http://id.loc.gov/vocabulary/iso639-1/sa","sa","Sanskrit"
"http://id.loc.gov/vocabulary/iso639-1/sc","sc","Sardinian"
"http://id.loc.gov/vocabulary/iso639-1/sr","sr","Serbian"
"http://id.loc.gov/vocabulary/iso639-1/sn","sn","Shona"
"http://id.loc.gov/vocabulary/iso639-1/ii","ii","Sichuan Yi |  Nuosu"
"http://id.loc.gov/vocabulary/iso639-1/sd","sd","Sindhi"
"http://id.loc.gov/vocabulary/iso639-1/si","si","Sinhala |  Sinhalese"
"http://id.loc.gov/vocabulary/iso639-1/sk","sk","Slovak"
"http://id.loc.gov/vocabulary/iso639-1/sl","sl","Slovenian"
"http://id.loc.gov/vocabulary/iso639-1/so","so","Somali"
"http://id.loc.gov/vocabulary/iso639-1/st","st","Sotho"
"http://id.loc.gov/vocabulary/iso639-1/es","es","Spanish"
"http://id.loc.gov/vocabulary/iso639-1/su","su","Sundanese"
"http://id.loc.gov/vocabulary/iso639-1/sw","sw","Swahili"
"http://id.loc.gov/vocabulary/iso639-1/ss","ss","Swati"
"http://id.loc.gov/vocabulary/iso639-1/sv","sv","Swedish"
"http://id.loc.gov/vocabulary/iso639-1/tl","tl","Tagalog"
"http://id.loc.gov/vocabulary/iso639-1/ty","ty","Tahitian"
"http://id.loc.gov/vocabulary/iso639-1/tg","tg","Tajik"
"http://id.loc.gov/vocabulary/iso639-1/ta","ta","Tamil"
"http://id.loc.gov/vocabulary/iso639-1/tt","tt","Tatar"
"http://id.loc.gov/vocabulary/iso639-1/te","te","Telugu"
"http://id.loc.gov/vocabulary/iso639-1/th","th","Thai"
"http://id.loc.gov/vocabulary/iso639-1/bo","bo","Tibetan"
"http://id.loc.gov/vocabulary/iso639-1/ti","ti","Tigrinya"
"http://id.loc.gov/vocabulary/iso639-1/to","to","Tonga (Tonga Islands)"
"http://id.loc.gov/vocabulary/iso639-1/ts","ts","Tsonga"
"http://id.loc.gov/vocabulary/iso639-1/tn","tn","Tswana"
"http://id.loc.gov/vocabulary/iso639-1/tr","tr","Turkish"
"http://id.loc.gov/vocabulary/iso639-1/tk","tk","Turkmen"
"http://id.loc.gov/vocabulary/iso639-1/tw","tw","Twi"
"http://id.loc.gov/vocabulary/iso639-1/ug","ug","Uighur |  Uyghur"
"http://id.loc.gov/vocabulary/iso639-1/uk","uk","Ukrainian"
"http://id.loc.gov/vocabulary/iso639-1/ur","ur","Urdu"
"http://id.loc.gov/vocabulary/iso639-1/uz","uz","Uzbek"
"http://id.loc.gov/vocabulary/iso639-1/ve","ve","Venda"
"http://id.loc.gov/vocabulary/iso639-1/vi","vi","Vietnamese"
"http://id.loc.gov/vocabulary/iso639-1/vo","vo","Volapük"
"http://id.loc.gov/vocabulary/iso639-1/wa","wa","Walloon"
"http://id.loc.gov/vocabulary/iso639-1/cy","cy","Welsh"
"http://id.loc.gov/vocabulary/iso639-1/fy","fy","Western Frisian"
"http://id.loc.gov/vocabulary/iso639-1/wo","wo","Wolof"
"http://id.loc.gov/vocabulary/iso639-1/xh","xh","Xhosa"
"http://id.loc.gov/vocabulary/iso639-1/yi","yi","Yiddish"
"http://id.loc.gov/vocabulary/iso639-1/yo","yo","Yoruba"
"http://id.loc.gov/vocabulary/iso639-1/za","za","Zhuang |  Chuang"
"http://id.loc.gov/vocabulary/iso639-1/zu","zu","Zulu"
